epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1375.24,0.8525,0.39999,0.78601,0.916,0.75463,0.81303,0.57318,0.80201,0.40262,0.78603,0.000742625,0.000742625,0.000742625
43,1408.01,0.85446,0.40764,0.78407,0.90972,0.754,0.79978,0.55518,0.77039,0.40119,0.78687,0.00073025,0.00073025,0.00073025
44,1439.77,0.82706,0.39255,0.78721,0.93858,0.75428,0.80633,0.5509,0.78596,0.40142,0.7861,0.000717875,0.000717875,0.000717875
45,1473.26,0.83257,0.39919,0.78366,0.91152,0.71321,0.78102,0.55576,0.79112,0.41037,0.78793,0.0007055,0.0007055,0.0007055
46,1506.13,0.83101,0.39543,0.78404,0.93594,0.72123,0.8056,0.54363,0.78369,0.41182,0.78708,0.000693125,0.000693125,0.000693125
47,1538.01,0.83954,0.40185,0.78332,0.93893,0.74793,0.79796,0.5538,0.79393,0.42554,0.79028,0.00068075,0.00068075,0.00068075
48,1569.65,0.85426,0.40747,0.78584,0.92745,0.7647,0.80704,0.54061,0.81712,0.43371,0.78994,0.000668375,0.000668375,0.000668375
49,1602.1,0.81525,0.38779,0.78258,0.91312,0.74349,0.8034,0.54905,0.8058,0.42626,0.78876,0.000656,0.000656,0.000656
50,1634.27,0.80465,0.38356,0.78495,0.94056,0.76202,0.83033,0.5688,0.80062,0.40207,0.78722,0.000643625,0.000643625,0.000643625
51,1666.04,0.82255,0.38716,0.7827,0.85703,0.76493,0.82146,0.5528,0.78128,0.41115,0.78722,0.00063125,0.00063125,0.00063125
52,1698.66,0.80849,0.38131,0.78161,0.87595,0.76287,0.80974,0.55853,0.75671,0.37969,0.78581,0.000618875,0.000618875,0.000618875
53,1730.88,0.80025,0.37647,0.78202,0.86668,0.75491,0.79983,0.55109,0.78888,0.39626,0.78701,0.0006065,0.0006065,0.0006065
54,1762.65,0.79262,0.37043,0.78106,0.85238,0.74445,0.80862,0.55032,0.77749,0.39327,0.78756,0.000594125,0.000594125,0.000594125
55,1794.53,0.79072,0.37071,0.78127,0.86646,0.75558,0.79953,0.53673,0.78586,0.39081,0.78848,0.00058175,0.00058175,0.00058175
56,1827.03,0.80036,0.37019,0.78103,0.90427,0.75603,0.80534,0.54673,0.77707,0.39301,0.78733,0.000569375,0.000569375,0.000569375
57,1858.94,0.76917,0.36267,0.7808,0.89206,0.75869,0.80222,0.55141,0.7889,0.38997,0.78893,0.000557,0.000557,0.000557
58,1891.13,0.79208,0.37206,0.78327,0.85601,0.76082,0.80144,0.54853,0.77417,0.40227,0.7884,0.000544625,0.000544625,0.000544625
59,1923.35,0.78187,0.36658,0.78141,0.91582,0.74295,0.81324,0.55386,0.75842,0.38698,0.78729,0.00053225,0.00053225,0.00053225
60,1955.7,0.7919,0.36711,0.78015,0.86967,0.76419,0.80861,0.55042,0.78665,0.38392,0.78661,0.000519875,0.000519875,0.000519875
61,1987.59,0.78163,0.35956,0.77873,0.87084,0.74083,0.79325,0.54831,0.76107,0.39021,0.78662,0.0005075,0.0005075,0.0005075
62,2019.86,0.77153,0.36246,0.78184,0.87003,0.7448,0.80018,0.56205,0.74616,0.38261,0.78557,0.000495125,0.000495125,0.000495125
63,2052.34,0.75687,0.35685,0.78166,0.9277,0.74798,0.80742,0.56663,0.74111,0.37578,0.78522,0.00048275,0.00048275,0.00048275
64,2084.51,0.77168,0.36002,0.78049,0.92867,0.74847,0.8156,0.5613,0.76821,0.39149,0.78496,0.000470375,0.000470375,0.000470375
65,2116.33,0.76836,0.36012,0.77914,0.93009,0.73045,0.81422,0.55651,0.73858,0.37375,0.78396,0.000458,0.000458,0.000458
66,2148.8,0.76133,0.35486,0.77806,0.93041,0.75579,0.80834,0.55741,0.75292,0.369,0.78523,0.000445625,0.000445625,0.000445625
67,2181.09,0.77417,0.35692,0.7806,0.88184,0.73424,0.80649,0.55807,0.73691,0.36851,0.78416,0.00043325,0.00043325,0.00043325
68,2212.95,0.75307,0.34997,0.77903,0.91762,0.75632,0.81539,0.56886,0.76322,0.39346,0.78473,0.000420875,0.000420875,0.000420875
69,2246.51,0.77935,0.35608,0.7784,0.88573,0.74888,0.81061,0.55458,0.7715,0.39355,0.78301,0.0004085,0.0004085,0.0004085
70,2279.18,0.75642,0.35232,0.77749,0.92187,0.73323,0.81343,0.57072,0.74079,0.3761,0.78406,0.000396125,0.000396125,0.000396125
71,2311.09,0.73108,0.34391,0.779,0.92318,0.741,0.81929,0.56002,0.74236,0.37646,0.78327,0.00038375,0.00038375,0.00038375
72,2342.83,0.74095,0.34608,0.77901,0.93331,0.75324,0.81881,0.58056,0.74948,0.38008,0.78383,0.000371375,0.000371375,0.000371375
73,2375.75,0.7771,0.36596,0.7811,0.93223,0.73817,0.81655,0.57071,0.75822,0.38458,0.78707,0.000359,0.000359,0.000359
74,2407.49,0.75041,0.35211,0.77846,0.93639,0.76354,0.82584,0.57816,0.75309,0.37507,0.78305,0.000346625,0.000346625,0.000346625
75,2439.56,0.74896,0.3506,0.77888,0.92894,0.76673,0.81988,0.57863,0.76273,0.37771,0.78614,0.00033425,0.00033425,0.00033425
76,2471.74,0.72356,0.34213,0.77843,0.93553,0.73867,0.81088,0.57021,0.73905,0.3803,0.78427,0.000321875,0.000321875,0.000321875
77,2504.13,0.74775,0.34549,0.77976,0.9163,0.75899,0.81842,0.57681,0.75244,0.3738,0.7841,0.0003095,0.0003095,0.0003095
78,2535.8,0.72253,0.33329,0.77855,0.93188,0.76675,0.81811,0.57517,0.73822,0.36511,0.78362,0.000297125,0.000297125,0.000297125
79,2568.26,0.73645,0.33632,0.77781,0.86552,0.75351,0.81961,0.57417,0.74356,0.369,0.78444,0.00028475,0.00028475,0.00028475
80,2600.71,0.73378,0.33734,0.77716,0.86777,0.74728,0.81974,0.57386,0.73762,0.37978,0.7836,0.000272375,0.000272375,0.000272375
81,2632.59,0.71163,0.3316,0.77733,0.88103,0.76043,0.83362,0.58574,0.73746,0.37533,0.78358,0.00026,0.00026,0.00026
82,2669.74,0.73009,0.3361,0.77724,0.91942,0.7496,0.8156,0.5679,0.77961,0.37943,0.78635,0.000247625,0.000247625,0.000247625
83,2701.75,0.70995,0.33083,0.77753,0.91504,0.74228,0.80724,0.57571,0.71535,0.36817,0.7829,0.00023525,0.00023525,0.00023525
84,2733.51,0.70826,0.32922,0.7771,0.90725,0.74553,0.82158,0.57636,0.73855,0.35991,0.78454,0.000222875,0.000222875,0.000222875
85,2765.88,0.72226,0.3319,0.77629,0.91383,0.75756,0.8343,0.57928,0.75739,0.37687,0.78404,0.0002105,0.0002105,0.0002105
